RetentionTime	Intensity
0.00503	414400.240608215
0.05051	443121.006324768
0.098315	470872.575592041
0.146808333333333	497852.378997803
0.196215	576086.037181854
0.244275	459647.989879608
0.29547	462137.262874603
0.343391666666667	562684.759185791
0.376495	465246.459201813
0.406461666666667	447373.646663666
0.443423333333333	399319.321094513
0.465846666666667	506106.241291046
0.495808333333333	551884.475551605
0.536678333333333	408017.021572113
0.555456666666667	422608.153556824
0.57742	400723.910728455
0.599843333333333	439438.031738281
0.62204	430129.453308105
0.647776666666667	482114.631717682
0.673923333333333	464413.956222534
0.689051666666667	437776.523414612
0.722198333333333	432930.437374115
0.737333333333333	424973.027317047
0.763663333333333	427171.366519928
0.78167	409874.576061249
0.80371	398917.707649231
0.826116666666667	412769.041675568
0.851846666666667	399614.458019257
0.874166666666667	413484.537567139
0.89647	420338.419834137
0.91454	400383.698760986
0.940436666666667	421509.360370636
0.966318333333333	432329.870681763
0.981411666666667	543230.360977173
1.03900666666667	535919.446533203
1.08542166666667	473093.259346008
1.13463333333333	460051.346729279
1.18492666666667	454573.983039856
1.22000166666667	469692.404537201
1.25525333333333	437038.402416229
1.306005	462043.487167358
1.34882333333333	393503.416305542
1.385795	405528.544281006
1.415325	422942.965877533
1.44403166666667	421897.562187195
1.47052666666667	429637.1693573
1.502965	433938.609165192
1.53279666666667	450573.778739929
1.56229166666667	475691.925128937
1.61394	435249.829128265
1.66620166666667	423894.922416687
1.71724666666667	433100.982467651
1.76146166666667	392554.315174103
1.80281166666667	388794.18655014
1.84370166666667	483151.656639099
1.89648833333333	465464.115287781
1.926405	427749.492218018
1.96376	485540.413475037
2.014645	491653.109161377
2.06653333333333	703400.040119171
2.11282333333333	539591.56836319
2.163085	460001.451461792
2.21296333333333	456707.595302582
2.26349666666667	602804.484279633
2.31435	822389.714424133
2.36512833333333	660292.92716217
2.41555	602576.073753357
2.46617666666667	622075.130992889
2.51502333333333	623694.401012421
2.566385	666786.506721497
2.61853	550002.856216431
2.66991666666667	499462.734004974
2.72142	454617.204704285
2.77350166666667	560792.115386963
2.82508833333333	532634.572105408
2.87655666666667	459601.195083618
2.9282	490641.979640961
2.97838666666667	462007.682128906
3.03033	491797.151927948
3.08202833333333	484203.974918365
3.12881666666667	361164.920757294
3.18068166666667	380979.227603912
3.23227833333333	385864.860263824
3.273345	411999.247509003
3.30299833333333	433819.608779907
3.32913	428741.60326004
3.36178166666667	493914.488731384
3.40253333333333	425649.555130005
3.45146333333333	406986.640743256
3.49994833333333	483979.705665588
3.55104333333333	529928.089889526
3.60345666666667	560229.542636871
3.65554333333333	614640.318279266
3.70765333333333	637607.04183197
3.75960666666667	670663.154361725
3.81105833333333	866038.159965515
3.861165	604713.282413483
3.912335	595714.340702057
3.964665	773167.854568481
4.01706833333333	821911.005615234
4.068485	967856.226608276
4.11776333333333	791435.754512787
4.16544	781939.781181335
4.217785	822171.100822449
4.26850166666667	1219039.34716034
4.31878	1515310.16356659
4.36774	1160089.1499939
4.41631166666667	1609421.50450897
4.46544	1418253.94791794
4.51707	2609631.23995209
4.56529	3548027.35273743
4.61316833333333	5350180.08654785
4.65882	2126518.74604034
4.71019666666667	4539821.06538391
4.758675	1495531.24948883
4.81034	2636526.32511139
4.85830666666667	2599016.5958252
4.905935	3496695.80436707
4.953245	3725827.84136963
5.00057666666667	4828516.24121094
5.04786333333333	2120035.62459183
5.09816666666667	12545084.5283508
5.14296166666667	2061853.50827789
5.19501166666667	4080679.99423218
5.24215333333333	1439287.83881378
5.2956	5493300.4425354
5.34167	5110386.94032288
5.38789833333333	2508557.3010025
5.43636166666667	10627340.4363098
5.48111	8010801.37991333
5.52665833333333	19183841.5085449
5.57312166666667	10876680.7035828
5.61748	16395516.6055603
5.66367166666667	2087573.68684769
5.715615	27099661.6016846
5.76187666666667	3392393.68606567
5.80970166666667	19725191.9475098
5.85561333333333	12847823.2982483
5.90208333333333	13113173.7223206
5.94917833333333	28427542.6207275
5.99020833333333	13483351.1849976
6.033585	41835839.4250488
6.07290666666667	23881434.0183716
6.11176333333333	39301924.3381348
6.15200833333333	35449244.8365479
6.19595833333333	50471506.0093994
6.23676833333333	5737274.83650208
6.28363666666667	76573374.1157227
6.32041666666667	110838219.210693
6.35177833333333	81174973.2844238
6.38916	120369897.29834
6.43111166666667	94284598.9467773
6.466875	162703626.359375
6.50035833333333	125795834.472168
6.53839666666667	207561320.021973
6.57559	158770270.451904
6.61868333333333	240984773.372559
6.65880833333333	114746046.769287
6.696865	133896732.006348
6.73362333333333	265985365.808594
6.76820166666667	172123545.113281
6.80674166666667	221287292.80957
6.83999333333333	142372613.235107
6.876295	240197381.836426
6.91366833333333	157786976.578369
6.94877833333333	169835127.98291
6.98985333333333	219525136.573242
7.02083333333333	153513291.179199
7.05500166666667	403482211.321289
7.08557166666667	251766725.135254
7.11987666666667	408782984.125977
7.15062	345246865.302246
7.18617	406019460.879395
7.21959833333333	527126191.359375
7.25452333333333	295113841.337402
7.288735	359725832.902832
7.331275	210929477.834473
7.36237666666667	293488491.634277
7.393215	255655146.491699
7.428605	334457212.276367
7.46188166666667	204925029.205566
7.49636	295716072.743164
