RetentionTime	Intensity
0.00534333333333333	341673.649307251
0.0468716666666667	267897.132469177
0.0934866666666667	286194.93655014
0.140431666666667	252070.639568329
0.158771666666667	241194.672210693
0.180186666666667	227996.793052673
0.20297	264793.419418335
0.228345	877638.718086243
0.275496666666667	3645441.53384399
0.316251666666667	4646097.19778442
0.357725	6637171.62765503
0.402916666666667	7900924.59118652
0.446288333333333	7395577.24176025
0.490311666666667	7186084.07034302
0.534878333333333	6861584.60800171
0.577948333333333	6055477.25128174
0.623291666666667	5201788.5239563
0.671803333333333	5050167.90646362
0.718945	4665446.23336792
0.76855	5060809.67681885
0.803931666666667	4784768.9296875
0.85407	5784578.82147217
0.901325	6439910.24520874
0.952013333333333	7222949.64709473
1.00113	7090420.73788452
1.03249166666667	6835724.3053894
1.07507333333333	6159112.65933228
1.12112833333333	5116719.53317261
1.16986666666667	4309600.87094116
1.20403166666667	3861896.56060791
1.24541833333333	3429009.68492126
1.29195166666667	3458054.24621582
1.33845833333333	3506680.45892334
1.38514	3328729.77682495
1.43128666666667	3538725.71670532
1.47763833333333	2954073.61151123
1.52457	2900635.12757874
1.57236666666667	3151740.8470459
1.62187	3111552.40353394
1.66978333333333	3124310.26986694
1.71859333333333	2971176.65588379
1.76408666666667	3364723.17430115
1.81401166666667	3126657.39401245
1.861175	3162718.23403931
1.91125833333333	3823971.92297363
1.96087	4251263.62484741
2.00861666666667	4900875.37359619
2.03365	4929165.46725464
2.07321666666667	4809645.68603516
2.11862166666667	4263263.14251709
2.16421	4224294.77468872
2.21054	4333599.88467407
2.25664666666667	4443861.02145386
2.30178666666667	5028423.09289551
2.34652	6238930.62133789
2.389835	7685456.68572998
2.436505	9410667.18286133
2.48230333333333	12345860.0239258
2.52921666666667	17859242.961792
2.57258	20119741.9008789
2.61435	25669124.305542
2.65656166666667	26707973.2313232
2.6987	26633415.9903564
2.736215	30875462.9613037
2.77871166666667	36385404.1264648
2.81691	39381710.0356445
2.85913333333333	44606229.2463379
2.89761833333333	52661301.7431641
2.944105	45839845.0039063
2.98223333333333	44799831.447998
3.02383666666667	45700991.8278809
3.06859	50664999.7956543
3.11146333333333	58505833.9802246
3.15032833333333	75071542.8173828
3.18477	94408888.543457
3.220165	127145753.42627
3.25684	131208380.088867
3.29845166666667	135114182.841797
3.33371333333333	136640453.705566
3.36937	150335058.810059
3.40546833333333	173148360.694336
3.44378166666667	183509327.263672
3.48327	198982618.919922
3.51733166666667	206329689.945313
3.55219166666667	214241310.919922
3.58708	210279606.283203
3.62282166666667	212300882.730469
3.65559333333333	216434908.765625
3.69618333333333	231228344.910156
3.733315	278412943.055664
3.76732166666667	347353949.348633
3.80252166666667	381172412.691406
3.83555	430811216.216797
3.87262333333333	401799606.042969
3.90569833333333	393671766.873047
3.938475	381642943.898438
3.97408833333333	345986375.830078
4.00910333333333	344007712.380859
4.04166833333333	323413517.421875
4.07538	314990121.990234
4.11810666666667	307934239.632813
4.152265	320014507.466797
4.18288	330191986.958984
4.21409833333333	338670468.705078
4.24519	398888799.279297
4.277765	459438125.130859
4.31179166666667	528466513.9375
4.34473666666667	623790216.455078
4.377005	723457028.099609
4.41345	749832662.994141
4.446785	800633578.931641
4.48144333333333	818353011.433594
4.51727333333333	805853071.330078
4.55049333333333	796785882.507813
4.58269	768583285.078125
4.61589166666667	738862595.376953
4.64982166666667	675249969.419922
4.683595	638839662.863281
4.71469833333333	596523577.154297
4.74954666666667	564945333.363281
4.78155333333333	534846605.291016
4.81799	507343354.613281
4.850075	502691680.753906
4.88212333333333	488978231.763672
4.91191333333333	477552123.716797
4.94745	497480148.839844
4.97804333333333	496975892.484375
5.01455333333333	489061705.65625
5.05329	495986483.109375
5.08255833333333	521566019.5625
5.11883333333333	524221473.921875
5.15694833333333	541474626.148438
5.189875	568124453.496094
5.224125	550748072.589844
5.25537833333333	529680882.875
5.28541	524695904.345703
5.32119833333333	518488738
5.34929	496196492.201172
5.38185	507453968.859375
5.41433333333333	500969718.189453
5.44826666666667	508752406.677734
5.48008666666667	519097873.246094
5.51301833333333	513419024.089844
5.54387833333333	573839440.212891
5.57714833333333	561024271.412109
5.60975333333333	559989948.853516
5.64261	536949984.470703
5.674015	501647726.181641
5.70906	500880863.070313
5.743625	494034785.050781
5.776445	501951835.126953
5.80999	510838336.847656
5.842895	493465278.345703
5.87700666666667	542802739.050781
5.90786666666667	514536469.34375
5.93848333333333	490799458.478516
5.971715	473762869.259766
6.00428166666667	450820281.384766
6.03845166666667	425387693.373047
6.07075166666667	409247794.753906
6.10506166666667	416195591.751953
6.13884	434072449.160156
6.17249666666667	456251343.886719
6.20693166666667	503853263.560547
6.23830833333333	515900084.597656
6.27079	527116360.644531
6.30558333333333	558179230.865234
6.341645	564721483.960938
6.37392666666667	567763785.150391
6.40725666666667	558836897.017578
6.44059833333333	574256480.097656
6.47212666666667	575989831.943359
6.50838666666667	547954994.154297
6.54333666666667	555479268.033203
6.57662166666667	550627063.425781
6.60804333333333	554259904.517578
6.64002833333333	495727554.646484
6.67472	519229056.804688
6.71102	471155362.583984
6.74259	488693801.292969
6.77641166666667	469669308.9375
6.80888166666667	446811529.138672
6.84240166666667	450137557.46875
6.87709666666667	454430684.03125
6.90843	422375204.583984
6.93971166666667	428133155.882813
6.96966166666667	432589514.132813
7.00119166666667	429566197.058594
7.031845	414460127.435547
7.06525833333333	414811272.191406
7.09802833333333	424739300.806641
7.13046666666667	427164183.763672
7.16219	440041813.886719
7.19795666666667	454285867.373047
7.22882666666667	485311106.166016
7.262185	504446697.466797
7.29368833333333	524494002.378906
7.325965	521617450.283203
7.35568166666667	501121126.308594
7.38799166666667	508306509.863281
7.42006333333333	508113738.791016
7.45151	525596702.890625
7.48429	489910981.353516
7.51558	478543106.703125
7.54962166666667	483169144.744141
7.58564166666667	472842134.744141
7.61986333333333	487686464.189453
7.65135833333333	496700605.921875
7.68228	520204413.824219
7.71434666666667	507395231.017578
7.74957	530652260.720703
7.78244666666667	544206737.558594
7.81974833333333	532541327.691406
7.852585	536412208.039063
7.88727833333333	548189241.853516
7.91942666666667	557082941.191406
7.95005666666667	530798615.951172
7.982	554238415.773438
8.01444333333333	532352695.527344
8.047005	480395658.591797
8.08362833333333	475316753.964844
8.116125	476171819.251953
8.14451	483624851.568359
8.175835	486354198.623047
8.21044833333333	528232747.554688
8.24595833333333	582451764.09375
8.28063833333333	577142721.228516
8.31422333333333	588168091.275391
8.35035833333333	574461134.134766
8.38579333333333	570136663.121094
8.41859166666667	561413456.257813
8.45230333333333	579309323.242188
8.486815	553362467.580078
8.520445	536002885.283203
8.55311333333333	538217515.041016
8.58745166666667	551224303.117188
8.62407	562156839.007813
8.65647666666667	558655024.451172
8.688715	559132919.431641
8.72024	553283324.294922
8.753775	547582267.615234
8.78301166666667	554917758.748047
8.81687	532389375.955078
8.85303833333333	524973216.894531
8.88822833333333	522833677.738281
8.92450833333333	518311974.025391
8.95746666666667	477290841.984375
8.991245	459715242.789063
9.02157	458837425.095703
9.054715	472022390.779297
9.08791666666667	491634849.9375
9.12281833333333	496471472.416016
9.155305	504185110.345703
9.18735833333333	505961489.039063
9.221145	509048329.193359
9.25483833333333	533008823.607422
9.29111333333333	555670220.746094
9.32105	514524328.615234
9.35701166666667	518377485.365234
9.392725	506810752.228516
9.42792666666667	524694544.519531
9.45612333333333	534744673.873047
9.48970666666667	545912241.833984
9.524015	561364823.886719
9.55962666666667	519617483.03125
9.59477666666667	509891736.826172
9.62989833333333	501722330.292969
9.66600666666667	475881892.375
9.697225	481159982.333984
9.72829	459133216.230469
9.76145666666667	438410097.345703
9.79252166666667	446736518.470703
9.825485	450775312.371094
9.858855	471993552.400391
9.89306166666667	474098095.816406
9.92740333333333	516324648.832031
9.96577166666667	511253575.216797
10.0005616666667	526319115.925781
10.0297316666667	527869144.228516
10.064175	528918665.886719
10.0960733333333	531133632.902344
10.1341666666667	512421311.152344
10.162615	501411033.914063
10.1983583333333	506231481.773438
10.23032	505523939.726563
10.2625233333333	490568914.335938
10.2970966666667	512739983.515625
10.3315766666667	488024308.251953
10.3590933333333	501395921.072266
10.3941666666667	459652595.826172
10.4289483333333	454252863.460938
10.46079	437696647.310547
10.4941483333333	434373029.390625
10.5280333333333	436969291.429688
10.5630416666667	433894165.478516
10.59753	445418805.484375
10.6313666666667	439995318.707031
10.66476	457435185.835938
10.695275	464565748.806641
10.728415	475228975.439453
10.7612	470243058.775391
10.79686	525793185.958984
10.8297883333333	536952102.675781
10.8654616666667	544778231.988281
10.9017033333333	580476841.990234
10.9324533333333	613399938.65625
10.9735383333333	629127746.746094
11.0088866666667	667217440.892578
11.041445	635482126.873047
11.0734166666667	640215966.074219
11.10749	649731978.347656
11.1406133333333	622180838.757813
11.1759533333333	678845108.072266
11.2112783333333	638774571.164063
11.24567	624738932.78125
11.279735	627330928.033203
11.3161183333333	600799365
11.3487983333333	589365801.898438
11.38107	572777855.345703
11.4149516666667	536519023.152344
11.4478316666667	555802516.621094
11.47954	531121305.292969
11.5136366666667	477664225.132813
11.5487683333333	451567647.667969
11.5831366666667	494264994.660156
11.619965	456415544.802734
11.65206	493932409.519531
11.6841033333333	474340569.050781
11.7159416666667	488352590.208984
11.7476033333333	504148289.234375
11.7799816666667	490022273.857422
11.8127466666667	497293166.208984
11.8437583333333	517758691.117188
11.87724	503380642.664063
11.910915	516843287.140625
11.9435966666667	511552094.277344
11.9798033333333	506336513.476563
12.01894	496239538.931641
12.0479916666667	512300601.693359
12.0824716666667	480426059.417969
12.1095966666667	465132458.970703
12.143495	488909872.113281
12.1757166666667	458832197.09375
12.207805	495944052.371094
12.2419133333333	435211291.603516
12.2755866666667	453642701.357422
12.3113766666667	454364802.742188
12.344755	439600642.314453
12.3781	429057615.84375
12.4095316666667	457973607.962891
12.441925	451769961.896484
12.4723416666667	431061247.666016
12.5060833333333	455417418.216797
12.5403516666667	452953754.607422
12.5730166666667	489404170.292969
12.6080283333333	479885312.011719
12.6415616666667	512713707.855469
12.673045	497972496.296875
12.7052266666667	488408288.287109
12.7348833333333	482331567.390625
12.7672016666667	480794314.791016
12.7989783333333	467457176.951172
12.8326683333333	481090209.019531
12.8650366666667	492153227.724609
12.898235	505428387.800781
12.93486	479017153.421875
12.97053	515753782.306641
13.002115	511860777.816406
13.035715	508430011.441406
13.0681483333333	530211625.302734
13.1005083333333	534294268.826172
13.136965	546761640.3125
13.1756933333333	558902188.414063
13.2069183333333	541117229.480469
13.242415	557322752.029297
13.275655	558722783.818359
13.308465	541398263.376953
13.3455566666667	523492620.375
13.37892	540181152.822266
13.4127883333333	527921384.9375
13.4501783333333	514903067.884766
13.482755	492002460.974609
13.5169566666667	462033825.019531
13.5505683333333	475393021.640625
13.5836633333333	479206669.929688
13.6153133333333	475621333.224609
13.6492133333333	492273430.384766
13.68271	485275692.960938
13.7109483333333	512261459.722656
13.7427983333333	493308524.681641
13.77452	505494596.734375
13.8098616666667	501349932.513672
13.8406266666667	488269396.314453
13.8742816666667	491671332.576172
13.9065083333333	486475752.919922
13.9408883333333	464431032.960938
13.974455	462128760.287109
14.0121066666667	461393472.289063
14.044245	452927884.800781
14.0737866666667	456760311.773438
14.11093	395421748.392578
14.1419683333333	387061142.072266
14.175315	374314636.326172
14.2101683333333	353235722.449219
14.2426866666667	379238988.540039
14.2753383333333	369873496.948242
14.3089783333333	358597451.633789
14.34609	364032066.431641
14.385075	379995745.063477
14.41839	369157606.790039
14.4506216666667	395224399.400391
14.48259	388556360.867188
14.5144933333333	397586581.242188
14.549595	443150590.132813
14.5839316666667	448041772.439453
