"TP","FN","FP","TN","accuracy","sensitivity_recall","specificity","precision","prevalence","detection_prevalence","detection_rate","F1","balanced_accuracy","scenario","model"
350,23,46,59,0.855723684210526,0.939322143576385,0.572208967503085,0.884804377793931,0.780328947368421,0.828421052631579,0.732236842105263,0.910301394511921,0.755765555539735,"S1","xgboost"
345,28,63,42,0.809627192982456,0.92509933009933,0.40161701044054,0.846603534200136,0.780416666666667,0.853421052631579,0.721732456140351,0.883307460798374,0.663358170269935,"S2","xgboost"
352,21,55,50,0.841052631578947,0.943725677830941,0.479024484287642,0.865111200626202,0.780394736842105,0.85140350877193,0.736425438596491,0.902369463869464,0.711375081059292,"S3","xgboost"
361,12,54,51,0.862039473684211,0.967432194149323,0.482842451665981,0.869873350361856,0.780328947368421,0.868114035087719,0.755241228070175,0.915937662911406,0.725137322907652,"S1","C5.0"
354,19,74,31,0.80530701754386,0.949972510972511,0.293423733129615,0.828712544690168,0.780416666666667,0.895416666666667,0.740570175438596,0.883593676179843,0.621698122051063,"S2","C5.0"
359,14,58,47,0.849407894736842,0.962703121439964,0.453639868903027,0.861340238602695,0.780394736842105,0.87234649122807,0.751074561403509,0.908705196206749,0.708171495171495,"S3","C5.0"
361,12,52,53,0.866184210526316,0.967830750797577,0.510497737556561,0.874257119073819,0.780328947368421,0.863969298245614,0.755241228070175,0.918298160263737,0.739164244177069,"S1","rf"
363,10,78,27,0.815899122807017,0.973124509124509,0.252177234530176,0.823070350373721,0.780416666666667,0.922675438596491,0.759495614035088,0.891692345921998,0.612650871827342,"S2","rf"
361,12,52,53,0.866162280701754,0.967897926634769,0.506240601503759,0.874185309173353,0.780394736842105,0.863969298245614,0.755263157894737,0.918420281278192,0.737069264069264,"S3","rf"
354,19,53,52,0.849495614035088,0.948942142941887,0.500987248046072,0.869961527794313,0.780328947368421,0.85140350877193,0.740614035087719,0.907419799696617,0.724964695493979,"S1","svmRadial"
360,13,90,15,0.784583333333333,0.964744744744745,0.133549783549784,0.799793853965884,0.780416666666667,0.941622807017544,0.753311403508772,0.874436802024226,0.549147264147264,"S2","svmRadial"
362,11,60,45,0.851513157894737,0.970339029391661,0.431584731058415,0.857670549306862,0.780394736842105,0.882828947368421,0.757368421052632,0.910359007608707,0.700961880225038,"S3","svmRadial"
