duration_short;duration_medium;duration_long;dynamics_decreasing;dynamics_constant;dynamics_increasing;variability_low;variability_medium;variability_high;time_beginning;time_middle;time_ending;id;label
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[0.6372796];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;[0.];[0.68765743];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[0.73803526];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.6364888630428557;0.3635111369571444;0.0;0.8985606729183478;0.10143932708165218;0.0;0.5090574011905334;0.49094259880946667;0.0;[0.];[0.77581864];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.830968100584537;0.16903189941546304;1.0;0.0;0.0;0.0;0.7972437750728042;0.2027562249271958;[0.];[0.81360202];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.07599187841911179;0.9240081215808882;1.0;0.0;0.0;0.0;0.07172388836578245;0.9282761116342175;[0.];[0.85138539];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
1.0;0.0;0.0;0.0;0.8395549161600748;0.16044508383992523;1.0;0.0;0.0;[0.];[0.88916877];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[0.92695214];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
1.0;0.0;0.0;0.0;0.6908184656510314;0.3091815343489686;1.0;0.0;0.0;[0.];[0.96473552];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.5809998384331265;0.41900016156687353;0.0;0.0;0.18078799445917926;0.8192120055408207;0.45754382890399464;0.5424561710960054;0.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.875002653489498;0.12499734651050189;1.0;0.0;0.0;0.0;0.8395994770852692;0.1604005229147308;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.9995677640383815;0.00043223596161849647;0.0;0.6995844812123968;0.30041551878760325;0.0;0.8469281998529076;0.15307180014709243;0.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.011737886136266178;0.9882621138637339;1.0;0.0;0.0;0.0;0.010009703656268427;0.9899902963437316;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.8131580386188961;0.18684196138110387;1.0;0.0;0.0;0.0;0.7801147425951942;0.21988525740480577;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.6590497614870878;0.3409502385129122;0.0;0.0;1.0;0.0;0.6319396794071475;0.3680603205928525;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.29210402712962297;0.707895972870377;0.0;0.0;1.0;0.0;0.27931934588503454;0.7206806541149654;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
1.0;0.0;0.0;0.3392020932106996;0.6607979067893004;0.0;1.0;0.0;0.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.26004701937304026;0.7399529806269598;1.0;0.0;0.0;0.0;0.24852279606261415;0.7514772039373858;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.0;0.7298349427668563;0.2701650572331436;0.0;0.0;1.0;0.0;0.6999913583548619;0.30000864164513813;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
0.9389829575646015;0.061017042435398454;0.0;0.7328623193058593;0.26713768069414057;0.0;0.7904208879077079;0.20957911209229205;0.0;[0.];[1.];[0.];QC_Shew_11_03_pt5_3_12Oct11__11-06-28;_good_
