lengt;dynamics;variability;mse;label;summary_intensity;summary_time;id;statistic
86.0;86.0;86.0;86.0;_good_;397.0;397.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;count
29.878993488917697;-3.6881554354449215;28.47105210340564;186.8481270162429;_good_;9.163674577057211e-15;198.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;mean
29.36939117243677;19.272979883118868;29.303863006428116;322.85442567425605;_good_;100.12618301549563;114.748275223058;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;std
2.0132119018401644;-70.57602651874753;0.23026541579423565;1.8219061824158842;_good_;-117.03094426860893;0.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;min
8.543255822683804;-8.543506941092808;7.246338334165642;29.695084363234848;_good_;-104.73196797675494;99.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;25%
17.475604509839442;-0.11197882910668404;16.317783310054423;76.31204473643436;_good_;-21.928243948540114;198.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;50%
38.573507709472054;6.99337501434393;37.132749289125584;195.18105072127366;_good_;85.01579533125313;297.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;75%
141.16622144372815;46.29004589646697;141.15205303749462;2070.8828557738198;_good_;291.8686969087575;396.0;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15;max
95.0;95.0;95.0;95.0;_good_;391.0;391.0;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;count
24.712317718129572;0.1927106275486495;23.93527634452026;112.5684303104411;_good_;-9.304293624275481e-15;195.0;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;mean
20.3899393006496;13.724412442478913;20.740180472005896;148.28217163437125;_good_;100.12812305062462;113.01622302424845;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;std
2.0000114950250034;-31.84700834994457;0.006780872521229497;2.2918371461712517;_good_;-152.11157808007158;0.0;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;min
7.988914813462119;-7.802079722352391;7.137778238848455;31.262940375065774;_good_;-82.9678020296868;97.5;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;25%
18.18069804936683;-0.773669631711313;17.40379428685776;65.06579254204833;_good_;3.7387451633199476;195.0;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;50%
35.43807663143524;7.828970800643619;34.00598932721209;125.70826707882199;_good_;94.90114822295152;292.5;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;75%
96.67140906296439;48.32535910425014;96.65071820850062;1022.0337995162912;_good_;168.5828275299287;390.0;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30;max
90.0;90.0;90.0;90.0;_good_;395.0;395.0;QC_Shew_11_06_01_10May12_Cougar_12-04-01;count
27.09100072548411;-0.6468676719421548;25.94604657060952;172.0606368200961;_good_;1.3815109394019163e-14;197.0;QC_Shew_11_06_01_10May12_Cougar_12-04-01;mean
21.53928687690688;15.159044855135651;21.552649706884242;272.5452304601584;_good_;100.12682313276449;114.17092449481173;QC_Shew_11_06_01_10May12_Cougar_12-04-01;std
2.001660987924372;-57.161789136194606;0.08152736091872725;2.7605779119169607;_good_;-103.02653944903535;0.0;QC_Shew_11_06_01_10May12_Cougar_12-04-01;min
10.782880460889992;-9.766350288445906;10.532885617136529;37.21184582586817;_good_;-97.17104257482069;98.5;QC_Shew_11_06_01_10May12_Cougar_12-04-01;25%
21.069783926536502;-0.05178495472870964;19.874664650613113;65.85075922161798;_good_;-19.450933757378014;197.0;QC_Shew_11_06_01_10May12_Cougar_12-04-01;50%
40.36171575813912;7.492688490980338;39.320376267029474;218.62501022400068;_good_;96.8960574071844;295.5;QC_Shew_11_06_01_10May12_Cougar_12-04-01;75%
114.34107113807875;40.472192885531236;114.32357827238957;2069.8030935303077;_good_;262.8392149354701;394.0;QC_Shew_11_06_01_10May12_Cougar_12-04-01;max
84.0;84.0;84.0;84.0;_good_;395.0;395.0;QC_Shew_11_06_01_8May12_Cougar_12-04-01;count
25.19342702845969;-0.421047540807301;23.763835694369792;99.40927090819733;_good_;1.611762762635569e-14;197.0;QC_Shew_11_06_01_8May12_Cougar_12-04-01;mean
22.40497437506528;15.249151655918993;22.271502285524278;148.90408376537366;_good_;100.12682313276447;114.17092449481173;QC_Shew_11_06_01_8May12_Cougar_12-04-01;std
2.1668887464016118;-42.19491996042468;0.22802975383775959;2.2106264640002107;_good_;-121.54456447332338;0.0;QC_Shew_11_06_01_8May12_Cougar_12-04-01;min
9.762069854235165;-6.686391660810536;8.230070708121133;19.679004649406703;_good_;-112.67282666469241;98.5;QC_Shew_11_06_01_8May12_Cougar_12-04-01;25%
18.484553308416938;-0.5293741717961753;17.057052119491118;42.50064086029885;_good_;-11.72750884003486;197.0;QC_Shew_11_06_01_8May12_Cougar_12-04-01;50%
33.791604607455824;6.801702965670017;29.520452599562873;109.05383625049001;_good_;93.5918131934273;295.5;QC_Shew_11_06_01_8May12_Cougar_12-04-01;75%
109.2664382203174;54.624066402444264;109.24813280488797;918.4997836291712;_good_;294.0631520354928;394.0;QC_Shew_11_06_01_8May12_Cougar_12-04-01;max
90.0;90.0;90.0;90.0;_good_;395.0;395.0;QC_Shew_11_06_04_11May12_Cougar_12-04-03;count
28.256361517110424;-1.5311191597191172;27.11295328843591;160.67827774791735;_good_;-1.8420145858692218e-14;197.0;QC_Shew_11_06_04_11May12_Cougar_12-04-03;mean
