lag1;lag2;lag3;label;name
0.9556735405865706;0.939329219657292;0.9364682671549445;_good_;QC_Shew_11_01_pt5_3_2Mar11_Owl_10-10-15
0.9716239537683792;0.953213334752411;0.9456308047368511;_good_;QC_Shew_11_05_4_2Nov11_Tiger_11-09-30
0.9660088285154778;0.9469067377887552;0.9397855532483876;_good_;QC_Shew_11_06_01_10May12_Cougar_12-04-01
0.9723520823310026;0.9584643832868307;0.9462856674733817;_good_;QC_Shew_11_06_01_8May12_Cougar_12-04-01
0.9557008700903067;0.9359658117938481;0.9231354079742458;_good_;QC_Shew_11_06_04_11May12_Cougar_12-04-03
0.9544618377312387;0.9268232463981798;0.910494092012509;_good_;QC_Shew_11_06_04_13May12_Cougar_12-04-03
0.9679099475343899;0.9351273939575275;0.9113008838596403;_good_;QC_Shew_11_06_5pt_1_21Mar12_Cougar_12-03-19
0.9392641634761137;0.900555851892863;0.8863875603631212;_good_;QC_Shew_11_06_5pt_5_13Mar12_Cougar_12-03-19
0.9414617369835734;0.9166405603418769;0.8981680175565814;_good_;QC_Shew_11_06_5pt_6_13Mar12_Cougar_12-03-20
0.9604121980554895;0.9248264658373386;0.9017484152407246;_good_;QC_Shew_11_06_Col1_26Feb12_Cougar_11-03-14
0.9543447436977722;0.9133360022974161;0.8870468097257468;_good_;QC_Shew_11_06_col1_9Jan12_Cougar_11-10-09
0.9410792774134495;0.9204483039366406;0.9112161510663093;_good_;QC_Shew_11_06_col101_methodB_22May12_Cougar_12-04-01
0.8419901227741722;0.8226032493804887;0.8190458905258217;_good_;QC_Shew_11_06_col102_methodB_22May12_Cougar_12-04-01
0.9738602365193734;0.9534905074609562;0.9381436206523743;_good_;QC_Shew_11_06_Col1A_29Jan12_Cougar_11-10-09
0.964987225213907;0.9370675820993075;0.9194905103188721;_good_;QC_Shew_11_06_Col1B_16Feb12_Cougar_11-03-14
0.9616910074154361;0.9304968396825171;0.9085696916736826;_good_;QC_Shew_11_06_Col1B_2Feb12_Cougar_11-10-09
0.9563830610615507;0.9198127539020821;0.8998569756661773;_good_;QC_Shew_11_06_Col1C_27Feb12_Cougar_12-02-24
0.9460055448224799;0.9181119401459188;0.9037111191396736;_good_;QC_Shew_11_06_Col2_B_29May12_Cougar_12-04-03
0.8820434510557443;0.865374508372231;0.8242263702427559;_good_;QC_Shew_11_06_col202_methodB_22May12_Cougar_12-04-03
0.9631652679403836;0.9295219435286523;0.9142265375991043;_good_;QC_Shew_11_06_Col2A_30Dec11_Cougar_11-10-11
0.9207520964360704;0.8790361321224915;0.8568351780321362;_good_;QC_Shew_11_06_Col2A_9Apr12_Cougar_12-03-22
0.9612287622522816;0.934789497761578;0.9175419270856204;_good_;QC_Shew_11_06_Col2B_16Feb12_Cougar_11-03-15
0.9626798100557117;0.9260613232328511;0.904634929284775;_good_;QC_Shew_11_06_Col2B_4Jan12_Cougar_11-10-11
0.9646393415794337;0.9335353897456027;0.9149429734048643;_good_;QC_Shew_11_06_Col2C_16Feb12_Cougar_11-03-15
0.9550705274051037;0.9193967433497888;0.9037184075311834;_good_;QC_Shew_11_06_Col2C_30Dec11_Cougar_11-10-11
0.9564757864018908;0.9243334711015697;0.9062350533647162;_good_;QC_Shew_11_06_D_8Jun12_Cougar_12-05-08
0.9487152406013802;0.9109079228515099;0.8869628657451234;_good_;QC_Shew_11_06_D_9Apr12_Cougar_12-03-22
0.9548770048908225;0.9213894312892859;0.9025513753779864;_good_;QC_Shew_11_06-pt5_03_23May12_Cougar_12-04-03
0.9167090998870076;0.8665063480111267;0.8231428739487053;_good_;QC_Shew_11_06-pt5_2_2Apr12_Cougar_12-03-22
0.953675452172806;0.9245900906936088;0.9069909449933921;_good_;QC_Shew_11_07_A_8Jun12_Cougar_12-05-07
0.9659841586460239;0.9459078549555501;0.9331957214500098;_good_;QC_Shew_11-06_2p5a_23May12_Legolas_11-12-27_120525121737
0.9782792887405649;0.9526259651557324;0.9365210338681149;_good_;QC_Shew_11-06-300min_top10_8may12_Polaroid_11-07-46
0.9647676516113637;0.9338842809235459;0.9109191192512327;_good_;QC_Shew_11-06-300minT30ITCID_AriesPK_R2_11may12_Polaroid_12-04-01
0.9467389306694495;0.9182199121545583;0.9056718186517737;_good_;QC_Shew_12_01-pt5-03_19Jun12_Cougar_12-05-07
0.9399201283744427;0.9100177727160205;0.9005536118382977;_good_;QC_Shew_12_01-pt5-04_19Jun12_Cougar_12-02-39
0.9689011096358577;0.9512141572130959;0.9476062354430358;_good_;QC_Shew_12_02_1_14Sep12_Cougar_12-06-10
0.9010103257351034;0.8792697806498702;0.8704908080382955;_good_;QC_Shew_12_02_1_20Sep12_Cougar_12-06-10
0.9569171836782494;0.9298260002350512;0.9227302463827711;_good_;QC_Shew_12_02_1_24Aug12_Cougar_12-06-10
0.9543479728610776;0.9312582995875278;0.9248413993088572;_good_;QC_Shew_12_02_1_29Sep12_Cougar_12-06-10
0.9592240919396181;0.9318499266571987;0.9223090421280714;_good_;QC_Shew_12_02_1_3Aug12_Cougar_12-06-10
0.9602514546628832;0.9322417404419582;0.9248336426312579;_good_;QC_Shew_12_02_1_6Aug12_Cougar_12-06-10
0.940883598365983;0.9077972768186064;0.8977379872486361;_good_;QC_Shew_12_02_1_7Jan13_Cougar_12-12-01
0.9482145419673684;0.9117612344015947;0.8923137401088772;_good_;QC_Shew_12_02_1_7Sep12_Cougar_12-06-10
0.9611285195128912;0.9358872476416629;0.9182968342664264;_good_;QC_Shew_12_02_1a_26Aug12_Cougar_12-06-10
