RetentionTime	Intensity
0.00544333333333333	892055.980407715
0.047825	894233.830596924
0.0928833333333333	605251.619125366
0.1401	727673.508422852
0.186125	867783.807846069
0.236035	522584.114120483
0.286998333333333	573895.376220703
0.337616666666667	691203.059066772
0.388116666666667	794757.512084961
0.437966666666667	663909.598510742
0.454343333333333	703890.461532593
0.480941666666667	493893.974090576
0.505885	587483.848403931
0.540471666666667	477518.147399902
0.572791666666667	459348.133056641
0.594103333333333	514478.577514648
0.625355	686440.078048706
0.648036666666667	608659.030456543
0.679735	583611.170959473
0.71011	576526.414428711
0.728258333333333	680279.006561279
0.74131	772911.175445557
0.765888333333333	803943.72354126
0.804673333333333	542946.273986816
0.852415	663523.227355957
0.86957	611291.825195313
0.89406	557223.15826416
0.908801666666667	771986.557266235
0.926598333333333	604523.957717896
0.947021666666667	576189.289428711
0.970091666666667	671559.537475586
0.9895	707750.082885742
1.00015333333333	727359.685928345
1.01712333333333	830345.69354248
1.06778333333333	666648.537261963
1.11281333333333	682533.029541016
1.15033833333333	650519.918670654
1.19631166666667	518844.472015381
1.22121666666667	824759.02746582
1.243135	1102691.24136353
1.291315	739743.906341553
1.31704333333333	833602.804321289
1.35488666666667	576586.386657715
1.37545	512055.334381104
1.39276666666667	992542.061065674
1.41857	636228.006225586
1.44721166666667	638002.112976074
1.46431666666667	518209.230834961
1.49365666666667	560546.420471191
1.50700166666667	804303.711975098
1.54750666666667	635100.984771729
1.57272	561824.433166504
1.59867166666667	811291.644500732
1.61548166666667	738819.644897461
1.63292666666667	543724.98324585
1.6625	494024.313995361
1.68061166666667	442269.824157715
1.69805833333333	503960.310150146
1.73933333333333	504628.973175049
1.75700166666667	512130.020568848
1.76971333333333	538952.173156738
1.790885	543425.941345215
1.82013333333333	451277.472564697
1.86535	725045.817169189
1.89093333333333	822394.36151123
1.90811166666667	839352.86505127
1.93754833333333	832549.641204834
1.95084	663754.149749756
1.97171	541412.796844482
2.00203833333333	486528.694488525
2.02301	571431.023223877
2.036505	658238.879852295
2.08448666666667	493572.069549561
2.12271833333333	482150.85244751
2.16159	443677.536956787
2.19037833333333	478785.023254395
2.23774	553528.975250244
2.26758333333333	490127.098358154
2.30591166666667	480495.998474121
2.327165	465062.753723145
2.36124666666667	514343.276428223
2.39078333333333	538604.912872314
2.43524166666667	481700.831268311
2.45886833333333	459136.275482178
2.48417833333333	513550.412811279
2.49707	822443.779144287
2.51336	491960.764923096
2.54643666666667	559988.042907715
2.56783666666667	507398.378112793
2.60059666666667	486320.031814575
2.63113	471335.982849121
2.68295	626085.379165649
2.71672	557076.046432495
2.76277666666667	932043.238876343
2.80222	1041970.0604248
2.85131666666667	920763.908172607
2.87834666666667	944090.944213867
2.89839	1103137.2598114
2.93795166666667	795229.693511963
2.96978166666667	693662.399765015
2.998295	1034608.51919556
3.04636	682306.133544922
3.09341	993886.058746338
3.141035	706096.288665771
3.17912	838320.328460693
3.19989	632707.084014893
3.235325	568803.22315979
3.25973333333333	548522.543487549
3.29243833333333	730180.331512451
3.32889666666667	563575.250114441
3.35812666666667	608213.767456055
3.398795	696506.353225708
3.430075	641302.749237061
3.463015	619457.7421875
3.502695	997713.188873291
3.53034166666667	773061.871765137
3.55958166666667	603976.775802612
3.59691166666667	674576.552719116
3.63314	691895.942642212
3.66459	918580.794891357
3.69762333333333	1231774.78109741
3.735595	772511.826934814
3.76845666666667	776129.065231323
3.80158166666667	714779.640487671
3.82301166666667	598781.398681641
3.86333333333333	597633.287368774
3.91101166666667	1093515.65602112
3.94457166666667	935201.605331421
3.98083333333333	841568.407272339
4.00493666666667	699467.836837769
4.04203166666667	803830.557327271
4.06255833333333	779349.393264771
4.11193666666667	833646.118652344
4.16278333333333	1047566.61393738
4.19629166666667	997302.705413818
4.22087	899091.173492432
4.27245	658065.358642578
4.323	687775.129730225
4.37293833333333	767758.734771729
4.42291333333333	969600.888366699
4.47288666666667	812927.258651733
4.52361666666667	781164.865432739
4.57374333333333	1038092.37924194
4.623155	872611.958679199
4.67298166666667	901854.188568115
4.72092166666667	1242574.4854126
4.770055	1394377.35995483
4.81918166666667	1249203.1343689
4.86789166666667	1301853.88504028
4.91676	1171446.49813843
4.96532166666667	1110042.11364746
5.01524833333333	1467585.38635254
5.06331166666667	1380716.66638184
5.11101333333333	1155150.09695435
5.15806333333333	1209700.09136963
5.20313166666667	1219421.43115234
5.25072666666667	1169928.56826782
5.298255	1025741.46569824
5.34831	1009167.2444458
5.39672666666667	1104408.88308716
5.44615333333333	1219784.97817993
5.49506666666667	1253672.35845947
5.53699166666667	1269797.68008423
5.58589666666667	971902.826324463
5.63587333333333	819686.816543579
5.686005	992927.573242188
5.73535	815352.797027588
5.785175	959464.865600586
5.83502833333333	822438.363983154
5.884255	1065259.11181641
5.93333666666667	836033.605667114
5.98411833333333	987298.983062744
6.03372	954594.491836548
6.08215	801624.284637451
6.13345	866734.380432129
6.18273	903756.604141235
6.22888	885172.294769287
6.27688833333333	840795.156707764
6.32336333333333	988656.359802246
6.37325	900596.672851563
6.42197833333333	935421.023178101
6.47261666666667	814934.734573364
6.52230166666667	696573.294921875
6.574465	1282417.74768066
6.62303	778401.812454224
6.66602333333333	646183.083343506
6.70408	651221.763092041
6.74595333333333	592742.797485352
6.79153	654335.16394043
6.81680666666667	867195.43081665
6.862905	906706.237121582
6.89649333333333	750017.593353271
6.92268666666667	1375969.32022095
6.96354333333333	723172.840148926
7.01025833333333	995193.733917236
7.04812833333333	890903.281829834
7.095105	710136.270477295
7.12644333333333	858400.405944824
7.14813666666667	643524.59487915
7.19629833333333	583906.230194092
7.243015	685993.94052124
7.29176666666667	621688.231506348
7.32764166666667	706199.398895264
7.365545	784819.682037354
7.41489666666667	961317.082244873
7.45611166666667	637614.359832764
7.50227	617863.965820313
7.55295	617196.789672852
7.60450333333333	625459.56652832
7.65628333333333	619751.690002441
7.6991	609023.344207764
7.75061666666667	685117.755065918
7.80034166666667	670630.76473999
7.84778666666667	891636.59576416
7.87385666666667	774806.750061035
7.907555	867175.638946533
7.93775833333333	840812.278015137
7.98433333333333	953787.860992432
8.02911166666667	800183.85748291
8.07013166666667	884746.854522705
8.11523166666667	721079.506500244
8.14880166666667	620409.295318604
8.19044833333333	874539.719207764
8.23505833333333	729766.066314697
8.28174333333333	739320.265563965
8.32233666666667	644027.840332031
8.37098	825743.9921875
8.42048333333333	640346.614776611
8.46619	605502.807113647
8.49300666666667	642031.072784424
8.524015	853053.936141968
8.55861666666667	827635.220977783
8.60814	792607.059814453
8.63899333333333	890533.428527832
8.68106166666667	654564.924224854
8.711935	582628.863082886
8.74612	739963.897338867
8.77261666666667	651491.954559326
8.81586	758839.439910889
8.86542666666667	834018.040527344
8.90343166666667	708333.552398682
8.94546	662348.727203369
8.98457833333333	1051395.54251099
9.00668666666667	719208.192016602
9.03603833333333	789069.006256104
9.07276166666667	583646.411682129
9.11113166666667	627582.39932251
9.14444166666667	616232.689788818
9.1785	751918.09703064
9.22109333333333	856952.85484314
9.258065	903892.040679932
9.29741666666667	849222.428665161
9.34426166666667	911984.265823364
9.384765	659414.337234497
9.42285833333333	835203.891021729
9.45239666666667	668808.360855103
9.49724666666667	538165.492446899
9.52433833333333	560581.305496216
9.55555166666667	615372.684173584
9.58612333333333	598162.43598938
9.62060833333333	599765.345016479
9.651715	557721.4246521
9.69421833333333	557734.713302612
9.72468333333333	555779.79486084
9.75827333333333	700150.704452515
9.78108666666667	641680.763214111
9.82006	596818.761154175
9.85035	612520.044525146
9.89239333333333	576666.899154663
9.94495	616193.164459229
9.97445166666667	541329.577056885
10.002015	550079.139648438
10.020565	557700.787612915
10.0467766666667	588557.233078003
10.0722216666667	557107.653320313
10.1030866666667	595740.742248535
10.1281733333333	564395.821487427
10.1607416666667	557459.00944519
10.1859183333333	709346.045761108
10.2120516666667	585756.171386719
10.23934	592480.869598389
10.268535	543266.185241699
10.31606	551127.546630859
10.3606633333333	528930.24559021
10.3833116666667	517850.390670776
10.4230133333333	533004.677978516
10.4572916666667	575838.991668701
10.50636	554178.559204102
10.5293666666667	583048.610595703
10.5517416666667	539895.592483521
10.5788933333333	551132.536529541
10.617865	531733.977539063
10.6686166666667	707277.390274048
10.71422	777885.958892822
10.7613583333333	638141.662750244
10.7793833333333	560053.312805176
10.806625	625563.404663086
10.8581166666667	1000438.13215637
10.907465	515268.592193604
10.95372	710438.643585205
10.9881916666667	552974.869064331
11.0407833333333	618811.415008545
11.07937	598940.264297485
11.1129716666667	615879.830764771
11.15784	845934.864395142
11.1830216666667	862314.299072266
11.2051983333333	609851.550674438
11.2310733333333	665215.104705811
11.24595	659152.667449951
11.2915566666667	1085716.24391174
11.3400116666667	801816.432067871
11.381255	947085.975250244
11.4034183333333	875333.364181519
11.429405	710597.153442383
11.4632333333333	687448.870620728
11.49594	1124012.08306885
11.5406716666667	602828.203048706
11.5764766666667	887509.85017395
11.6020716666667	954286.245147705
11.6282616666667	925742.804946899
11.6699216666667	631421.113616943
11.700875	760695.710113525
11.73232	590407.606704712
11.7592666666667	663441.996017456
11.7822983333333	569951.513702393
11.8050516666667	511548.27973938
11.82751	509469.073410034
11.87719	526217.936004639
11.9270283333333	520000.686004639
11.95318	584183.575500488
11.9970033333333	706587.466079712
12.047125	648032.784866333
12.084905	693274.749450684
12.1105983333333	1021375.10147095
12.145	789197.634765625
12.1812616666667	660218.170837402
12.1994716666667	609478.960876465
12.2298166666667	666758.692108154
12.2694716666667	740831.298416138
12.31274	530223.097808838
12.3532833333333	362065.738494873
12.38801	586436.926895142
12.426985	1051257.96583557
12.4414283333333	796165.529449463
12.4871833333333	666154.050125122
12.5288333333333	836076.185806274
12.5513533333333	578128.385421753
12.5867766666667	510115.610076904
12.6217733333333	587296.015731812
12.669035	874113.900405884
12.7066216666667	844181.825775146
12.7576166666667	566691.834533691
12.7704633333333	576719.617828369
12.7866916666667	600853.793426514
12.833435	544658.756484985
12.8831566666667	514690.365112305
12.9318816666667	564957.141769409
12.9785983333333	527284.58241272
13.0143966666667	516213.670700073
13.0656166666667	588261.253814697
13.1154883333333	584309.545822144
13.1581416666667	599188.15234375
13.203585	675771.90763855
13.2506583333333	1125342.94830322
13.2857166666667	781763.222869873
13.3295283333333	526842.354034424
13.3768916666667	696425.761703491
13.41115	622904.292907715
13.4364666666667	750523.390670776
13.4484116666667	672078.985427856
13.4858616666667	631149.481430054
13.50603	726037.657485962
13.5400433333333	848423.957489014
13.5636583333333	834262.716522217
13.5897916666667	704225.989517212
13.604455	863936.651779175
13.6415966666667	931343.6771698
13.676185	1041292.68894958
13.7224166666667	877284.827255249
13.7676316666667	1028089.18318176
13.7992316666667	789393.934448242
13.8379883333333	659403.811706543
13.8617483333333	880616.051971436
13.89612	594829.159835815
13.9484483333333	557822.121932983
13.994535	553311.55770874
14.021065	525854.048233032
14.0609733333333	859768.495315552
14.0880933333333	934473.532653809
14.131995	877344.604949951
14.1640466666667	838438.809875488
14.2151183333333	1114405.08480835
14.2448566666667	970882.475234985
14.263275	1024958.90441895
14.2899166666667	1025958.17536926
14.3006066666667	993585.71321106
14.3379333333333	1094542.39326477
14.3887833333333	713060.342010498
14.4272483333333	539835.113830566
14.4654683333333	509530.691619873
14.5138966666667	611458.074050903
14.5489533333333	687141.428222656
14.5843883333333	665877.44972229
14.61515	1047951.36288452
14.638065	842260.061187744
14.6619633333333	1016810.80825806
14.7015183333333	563527.443374634
14.7478383333333	622937.388290405
14.79845	609924.200119019
14.839415	738741.144454956
14.8812	786554.589019775
14.928085	915084.622390747
14.9703616666667	804933.703292847
15.009595	866092.791656494
15.04526	921222.090301514
15.0962833333333	1171616.74609375
15.1370033333333	1035066.78718567
15.1844566666667	784769.244598389
15.234385	652260.937988281
15.2680233333333	818202.030029297
15.3033583333333	581194.971832275
15.3405916666667	591848.085418701
15.368585	596053.869430542
15.4078566666667	587457.064239502
15.4544466666667	548126.036102295
15.4900783333333	752676.271118164
15.52676	930759.720626831
15.56582	1012497.42276001
15.6058066666667	887017.686859131
15.6365183333333	791307.840377808
15.6637366666667	976697.570922852
